"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"Program","","2023-04-13","2:34:13","2:34:14","0:00:01","+09:00","",""
"Program","","2023-04-13","16:20:55","19:10:57","2:50:02","+09:00","",""
"Program","","2023-04-13","19:55:16","23:27:54","3:32:38","+09:00","",""
"Program","","2023-04-14","15:50:39","19:05:48","3:15:09","+09:00","",""
"Program","","2023-04-14","19:05:51","19:09:49","0:03:58","+09:00","",""
"Program","","2023-04-14","19:35:30","19:59:30","0:24:00","+09:00","",""
"Program","","2023-04-14","20:37:16","21:22:17","0:45:01","+09:00","",""
"anime","","2023-04-14","21:15:12","22:00:12","0:45:00","+09:00","",""
"Program","","2023-04-15","9:33:50","9:33:54","0:00:04","+09:00","",""
"movie","","2023-04-15","11:25:56","11:41:56","0:16:00","+09:00","",""
"movie","","2023-04-15","11:42:05","12:23:49","0:41:44","+09:00","",""
"Program","","2023-04-15","13:08:27","13:08:29","0:00:02","+09:00","",""
"Program","","2023-04-15","13:08:31","16:14:26","3:05:55","+09:00","",""
"Program","","2023-04-15","16:21:42","17:20:13","0:58:31","+09:00","",""
"Read","","2023-04-16","12:19:56","13:02:13","0:42:17","+09:00","",""
"Program","","2023-04-16","15:40:55","17:05:40","1:24:45","+09:00","",""
"Read","","2023-04-16","19:45:34","20:35:34","0:50:00","+09:00","",""
"Program","","2023-04-16","20:51:18","20:51:19","0:00:01","+09:00","",""
"Program","","2023-04-16","20:52:13","22:00:48","1:08:35","+09:00","",""
"anime","","2023-04-16","22:02:13","22:21:13","0:19:00","+09:00","",""
"anime","","2023-04-16","22:21:23","22:29:28","0:08:05","+09:00","",""
"Program","","2023-04-16","23:18:27","23:59:59","0:41:32","+09:00","",""
"Program","","2023-04-17","0:00:00","2:38:32","2:38:32","+09:00","",""
"anime","","2023-04-17","20:35:01","20:59:01","0:24:00","+09:00","",""
"Program","","2023-04-18","15:28:28","17:28:36","2:00:08","+09:00","",""
"anime","","2023-04-18","17:28:39","17:52:15","0:23:36","+09:00","",""
"Program","","2023-04-18","17:56:02","18:20:26","0:24:24","+09:00","",""
"Program","","2023-04-18","20:32:01","23:28:15","2:56:14","+09:00","",""
